"init_id","title","init_text"
"09-0010","DENIAL OF PUBLIC BENEFITS FOR PERSONS WHO CANNOT VERIFY LAWFUL PRESENCE.  DENIAL OF STANDARD BIRTH CERTIFICATE FOR CHILDREN OF UNDOCUMENTED PARENTS.  INITIATIVE STATUTE.","http://oag.ca.gov/system/files/initiatives/pdfs/09-0010%20%28i807_initiative_09-0010%29.pdf"
"09-0009","TAX ON EMPLOYERS WHO COLLECT LIFE-INSURANCE BENEFITS UPON THE DEATH OF FORMER EMPLOYEES.  INITIATIVE STATUTE.","http://oag.ca.gov/system/files/initiatives/pdfs/09-0009%20%28i806_initiative_09-0009%29.pdf"
"09-0008","LIMITS ON VOTING.  INITIATIVE STATUTE.","http://oag.ca.gov/system/files/initiatives/pdfs/09-0008%20%28i805_initiative_09-0008_amdt_1s%29.pdf"
"09-0007","LIMITS ON VOTING.  INITIATIVE STATUTE.","http://oag.ca.gov/system/files/initiatives/pdfs/09-0007%20%28i804_initiative_09-0007_amdt_1s%29.pdf"
"09-0006","TAX ON PENSION DISTRIBUTIONS AND HEALTH CARE BENEFITS. INITIATIVE STATUTE.","http://oag.ca.gov/system/files/initiatives/pdfs/09-0006%20%28i803_initiative_09-0006%29.pdf"
"09-0005","LIMITS ON VOTING.  INITIATIVE STATUTE.","http://oag.ca.gov/system/files/initiatives/pdfs/09-0005%20%28i802_initiative_09-0005%29.pdf"
"09-0004","DENIAL OF PUBLIC BENEFITS FOR PERSONS WHO CANNOT VERIFY LAWFUL","http://oag.ca.gov/system/files/initiatives/pdfs/09-0004%20%28i801_initiative_09-0004%29.pdf"
"09-0003","SUBSTITUTES DOMESTIC PARTNERSHIP FOR MARRIAGE IN CALIFORNIA LAW. INITIATIVE CONSTITUTIONAL AMENDMENT AND STATUTE.","http://oag.ca.gov/system/files/initiatives/pdfs/09-0003%20%28i800_09-0003_domestic_partnership_initiative%29.pdf"
"09-0002","REINSTATES RIGHT OF SAME-SEX COUPLES TO MARRY. INITIATIVE CONSTITUTIONAL AMENDMENT.  (Amdt. #1-S.)","http://oag.ca.gov/system/files/initiatives/pdfs/09-0002%20%28i799_09-0002_amdt_1s%29.pdf"
"09-0001","STATE BUDGET. PENALTIES FOR GOVERNOR AND LEGISLATURE IF BUDGET DEADLINES NOT MET. INITIATIVE CONSTITUTIONAL AMENDMENT.","http://oag.ca.gov/system/files/initiatives/pdfs/09-0001%20%28i798_09-0001_amdt_1ns%29.pdf"
