"init_id","title","init_text"
"09-0088","IMPOSES POLITICAL CONTRIBUTION AND EXPENDITURE RESTRICTIONS ON CORPORATIONS.  INITIATIVE STATUTE.","http://oag.ca.gov/system/files/initiatives/pdfs/09-0088%20%28i886_initiative_09-0088%29.pdf"
"09-0087","IMPOSES POLITICAL CONTRIBUTION AND EXPENDITURE RESTRICTIONS ON CORPORATIONS.  INITIATIVE STATUTE.","http://oag.ca.gov/system/files/initiatives/pdfs/09-0087%20%28i885_initiative_09-0087%29.pdf"
"09-0086","“California Against Slavery Act to Strengthen Human Trafficking Law.” (Amdt. #1-S.)","http://oag.ca.gov/system/files/initiatives/pdfs/09-0086%20%28i884_initiative_09-0086amdt1s%29.pdf"
"09-0085","ESTABLISHES PRIVATE-SCHOOL SCHOLARSHIPS FOR FOSTER CHILDREN.  INITIATIVE CONSTITUTIONAL AMENDMENT AND STATUTE.","http://oag.ca.gov/system/files/initiatives/pdfs/09-0085%20%28i883_09-0085_a1s%29.pdf"
"09-0084","PROHIBITS STATE FROM TAXING COMMUNITY HOSPITALS TO OBTAIN FEDERAL FUNDS FOR MEDI-CAL UNLESS CERTAIN REQUIREMENTS ARE MET.  INITIATIVE CONSTITUTIONAL AMENDMENT.","http://oag.ca.gov/system/files/initiatives/pdfs/09-0084%20%28i881_initiative_09-0084%29.pdf"
"09-0083","PROHIBITS STATE FROM TAXING COMMUNITY HOSPITALS TO OBTAIN FEDERAL FUNDS FOR MEDI-CAL UNLESS CERTAIN REQUIREMENTS ARE MET.  INITIATIVE CONSTITUTIONAL AMENDMENT.","http://oag.ca.gov/system/files/initiatives/pdfs/09-0083%20%28i880_initiative_09-0083%29.pdf"
"09-0082","PROHIBITS STATE FROM TAXING COMMUNITY HOSPITALS TO OBTAIN FEDERAL FUNDS FOR MEDI-CAL UNLESS CERTAIN REQUIREMENTS ARE MET.  INITIATIVE CONSTITUTIONAL AMENDMENT.","http://oag.ca.gov/system/files/initiatives/pdfs/09-0082%20%28i879_initiative_09-0082%29.pdf"
"09-0081","PROHIBITS STATE FROM TAXING COMMUNITY HOSPITALS TO OBTAIN FEDERAL FUNDS FOR MEDI-CAL UNLESS CERTAIN REQUIREMENTS ARE MET.  INITIATIVE CONSTITUTIONAL AMENDMENT.","http://oag.ca.gov/system/files/initiatives/pdfs/09-0081%20%28i878_initiative_09-0081%29.pdf"
"09-0080","LIMITS PENSION PAYMENTS THAT NEW PUBLIC EMPLOYEES MAY RECEIVE UPON RETIREMENT.  INITIATIVE STATUTE.","http://oag.ca.gov/system/files/initiatives/pdfs/09-0080%20%28i877_initiative_09-0080%29.pdf"
"09-0079","PROHIBITS STATE FROM TAXING COMMUNITY HOSPITALS TO OBTAIN FEDERAL FUNDS FOR MEDI-CAL UNLESS CERTAIN REQUIREMENTS ARE MET.  INITIATIVE CONSTITUTIONAL AMENDMENT.","http://oag.ca.gov/system/files/initiatives/pdfs/09-0079%20%28i876_initiative_09-0079%29.pdf"
"09-0078","PROVIDES ADDITIONAL SCHOOL FUNDING BY INCREASING COMMERCIAL PROPERTY TAXES. INCREASES HOMEOWNERS’ TAX EXEMPTION.  INITIATIVE CONSTITUTIONAL AMENDMENT AND STATUTE.","http://oag.ca.gov/system/files/initiatives/pdfs/09-0078%20%28i875_initiative_09-0078%29.pdf"
"09-0077","REQUIRES ASSESSMENT OF MOST COMMERCIAL PROPERTY AT LEAST ONCE EVERY THREE YEARS AND INCREASES HOMEOWNERS’ TAX EXEMPTION.  INITIATIVE CONSTITUTIONAL AMENDMENT AND STATUTE.","http://oag.ca.gov/system/files/initiatives/pdfs/09-0077%20%28i874_initiative_09-0077%29.pdf"
"09-0076","REDUCES PUBLIC PENSION AND RETIREMENT HEALTH-CARE BENEFITS.  INITIATIVE CONSTITUTIONAL AMENDMENT.","http://oag.ca.gov/system/files/initiatives/pdfs/09-0076%20%28i873_initiative_09-0076%29.pdf"
"09-0075","REDUCES PUBLIC PENSION AND RETIREMENT HEALTH-CARE BENEFITS.  INITIATIVE CONSTITUTIONAL AMENDMENT.","http://oag.ca.gov/system/files/initiatives/pdfs/09-0075%20%28i872_initiative_09-0075%29.pdf"
"09-0074","PROHIBITS STATE FROM TAXING COMMUNITY HOSPITALS TO OBTAIN FEDERAL FUNDS FOR MEDI-CAL UNLESS CERTAIN REQUIREMENTS ARE MET.  INITIATIVE CONSTITUTIONAL AMENDMENT.","http://oag.ca.gov/system/files/initiatives/pdfs/09-0074%20%28i871_initiative_09-0074%29.pdf"
